"ID","errors"
"5defad479db50d000d727ed1",7
"610ac6c64e24f33501e5d914",0
"5b67a13bcf223500012168e3",0
"610869fdc0cd6f8e3db4cb52",5
"6025b3681ff1521a3369dffe",4
"606dfa579ce4f86f0c7d3568",2
"57dd1a741334540001170404",5
"613b90589da40a5f42ad01b7",3
"5ed57ec8141d24118731f1bc",1
"60f5dc6cba19bf6145b8c921",4
"614ce6a7a33bac955957f7a6",6
"60c167bfe3b81c9d04740d04",5
"6108d9e45c65a1a0bc60c13c",0
"55a47692fdf99b126e625257",10
"60d38bc77bf91667dce30e64",0
"5e3d8ef3b9b9e3043d928529",1
"570fa0905edc8f000fe73c4a",0
"5f5803725e034735349617ee",1
"5db9a46ff8e3f9000f88cb85",1
"5886d67b3e1f290001aa7529",6
"616b2966d0aee4f9879a656b",3
"5c707357011e2900019d3707",1
"57d02ffb596f5d0001df741f",0
"5e564ce0dacee801de6ea4cb",0
"5f38e87099a44d40b79e5009",1
"5eda94f69f275211dff92234",5
"5feb3334d92c4a38fa296cb4",5
"5f330e8f72030b0fa290a172",5
"5c3e56b53178f800010aae08",1
"5d7e5e9b377dc300014335de",1
"57a12661913c7100019767b7",1
"60d018cc0f3faeaec2f7b7e5",1
"58d876b14240e50001190090",2
"5e816bdc285d3884d00d6dcb",3
"5e5731e3e1e8b90e25c1f3a2",7
"568d286ab5a2c2000cb6a91c",1
"596e5b7dc2e0220001c1015f",2
"6147a1c343f05087ff340b52",4
"60f1d81960d9ca3a725d65f6",1
"55b6ed4afdf99b437183fa6f",7
"615e1782e969d4939045c54f",2
"5d0e6b201b7ef6001a6346fc",0
"5f6056e9a41e0d14d4c19f4c",1
"613fda883d650eff1765cd31",0
"6100372e3a116cb5cb36ebea",0
"60e2577f8c52db9d1fb5ffac",0
"5f31b9ad9c42ef0dd178c680",4
"60a7b54f182e4ecb0b53874a",0
"5f4d68285a01eea23f58ac1d",5
"60c18d0606115c8eecb6091b",3
"5b54ce6fb7ef510001676f99",1
"56e5e6ef25f3bd000a40820c",3
"611c7e955d058e9cb73d8c2e",8
"60cfe3ebffa8b736150f0c0c",0
"60c3ba02dfcf64dbe7ae0396",1
"5de7d12c26dd95000b6824c5",2
"60c3d95ed1133cbcef7f7079",1
"616b42ee1dfd8c43a9697f47",0
"5a02083e087f2e0001eadbdb",0
"614ca7f8fc7cba1b74101bfe",1
"5ed17f22e1dc340c98fd6bc7",9
"600628028f2211980fd1632c",9
"5e9a2251a69f690b9cc31ede",5
"56caf7b564c068000c4d798a",3
"610d8fd45ccab90c42a4a6e2",3
"5dd37881523df036fecff14d",3
"5c44cf2da5487b00011d0b80",1
"60ce5270f1695ea416c25fc3",3
"5faa241191ed672f7830755d",8
"56ec151f388e1d000a5924d0",4
"5ee58dc80d29732d11277f16",3
"5f55b2de5c3cb118507479f5",3
"5df81cd72713055bdf02efd8",0
"5ec6d423fc10270f0bbbc90e",0
"616ef680ab8ca318a227f5ec",3
"60008e2ee4d8c913c602e0cd",7
"5d89a31c43734d0001b6a706",6
"5e837e917441520b9c662931",1
"6020606d7b0258677b881f63",8
"5ffd055afa9eac21f6e8bc6f",8
"5dce29700ad506063969a4a5",0
"5f3ac1732efa0a74f975b1a8",0
"601606098a88c4772f7db43c",0
"5d254db8bb2e30001933fe36",7
"5a01e188ab721b0001ef7134",0
"55d5e2c9db6a810006fa078b",0
"6140d7cdf9bc6016591c2878",1
"5f847dd8347e210d1acd5802",0
"6138c15bd47ecca8b56a704f",3
"558afa29fdf99b7dfdbac1c6",2
"55bd8669fdf99b5bfc7d4cfc",7
"5ba855d47c0ebe0001272f70",1
